estacion,fecha,ph,temperatura_c,turbidez_ntu,estado
RioNorte,2024-07-01,7.8,15.2,3.1,OK
RioNorte,2024-07-08,7.6,15.8,4.0,OK
RioNorte,2024-07-15,6.2,16.5,12.5,ALERTA
RioNorte,2024-07-22,7.9,17.0,3.8,OK
RioNorte,2024-07-29,NA,17.5,NA,ERROR
RioNorte,2024-08-05,7.7,18.0,4.2,OK
RioNorte,2024-08-12,7.5,18.5,3.9,OK
RioNorte,2024-09-02,8.8,19.0,14.0,ALERTA
RioCentro,2024-07-01,7.2,18.0,5.5,OK
RioCentro,2024-07-08,7.0,18.4,6.0,OK
RioCentro,2024-07-15,7.1,19.1,5.8,OK
RioCentro,2024-07-22,8.9,19.5,15.0,ALERTA
RioCentro,2024-07-29,7.3,20.0,6.2,OK
RioCentro,2024-08-05,7.4,20.2,6.5,OK
RioCentro,2024-08-19,NA,20.6,NA,ERROR
RioCentro,2024-09-02,7.2,20.8,6.0,OK
RioSur,2024-07-01,6.8,20.5,7.0,OK
RioSur,2024-07-08,NA,21.0,NA,ERROR
RioSur,2024-07-15,6.5,21.8,9.5,ALERTA
RioSur,2024-07-22,6.9,22.0,8.0,OK
RioSur,2024-07-29,7.0,22.5,7.5,OK
RioSur,2024-08-05,6.7,21.0,8.2,OK
RioSur,2024-08-12,9.1,20.8,16.5,ALERTA
RioSur,2024-08-19,7.1,20.2,7.8,OK
RioSur,2024-09-02,6.9,19.8,8.0,OK
RioEste,2024-07-01,7.4,17.5,4.5,OK
RioEste,2024-07-15,7.3,18.0,4.8,OK
RioEste,2024-08-05,6.3,18.8,11.0,ALERTA
RioEste,2024-08-19,7.5,19.0,4.6,OK
RioEste,2024-09-02,NA,19.5,NA,ERROR
