registro_id,camara,fecha,hora,especie,confianza
R001,Camara1,2024-09-01,22:15,Zorro,alta
R002,Camara1,2024-09-01,22:15,Zorro,alta
R003,Camara1,2024-09-02,06:40,Corzo,alta
R004,Camara2,2024-09-01,23:05,Jabali,media
R005,Camara2,2024-09-02,14:20,Corzo,alta
R006,Camara2,2024-09-03,03:10,Tejon,alta
R007,Camara3,2024-09-01,19:50,Zorro,baja
R008,Camara3,2024-09-02,21:30,Gato_montes,alta
R009,Camara3,2024-09-02,21:30,Gato_montes,alta
R010,Camara4,2024-09-01,08:15,Corzo,alta
R011,Camara4,2024-09-02,12:00,Jabali,alta
R012,Camara1,2024-09-03,23:45,Zorro,alta
R013,Camara1,2024-09-04,05:20,Tejon,media
R014,Camara2,2024-09-04,20:10,Zorro,alta
R015,Camara3,2024-09-05,01:15,Gato_montes,alta
R016,Camara4,2024-09-05,17:40,Corzo,alta
R017,Camara2,2024-09-05,22:50,Jabali,alta
R018,Camara1,2024-09-06,04:05,Tejon,alta
R019,Camara3,2024-09-06,20:20,Zorro,media
R020,Camara4,2024-09-06,09:30,Corzo,alta
R021,Camara2,2024-09-07,23:15,Zorro,alta
R022,Camara3,2024-09-07,21:00,Tejon,alta
R023,Camara5,2024-09-07,10:05,Corzo,alta
R024,Camara5,2024-09-08,13:40,Jabali,media
R025,Camara1,2024-09-08,22:50,Zorro,alta
R026,Camara2,2024-09-09,04:15,Tejon,alta
R027,Camara2,2024-09-09,04:15,Tejon,alta
R028,Camara3,2024-09-09,20:05,Gato_montes,alta
R029,Camara4,2024-09-10,07:50,Corzo,alta
R030,Camara5,2024-09-10,18:30,Jabali,alta
R031,Camara1,2024-09-11,23:10,Zorro,alta
R032,Camara3,2024-09-11,02:20,Lince,baja
R033,Camara2,2024-09-11,21:40,Zorro,media
R034,Camara4,2024-09-12,09:00,Corzo,alta
R035,Camara5,2024-09-12,15:15,Jabali,media
R036,Camara1,2024-09-12,22:30,Tejon,alta
R037,Camara3,2024-09-13,20:50,Gato_montes,alta
R038,Camara3,2024-09-13,20:50,Gato_montes,alta
R039,Camara2,2024-09-13,03:40,Zorro,alta
R040,Camara4,2024-09-14,11:20,Corzo,alta
R041,Camara5,2024-09-14,19:05,Jabali,alta
R042,Camara1,2024-09-14,21:15,Zorro,alta
